ad_archive_id,ad_library_url,advertiser,advertiser_canonical,page_id,advertiser_type,days_running,variant_count,platforms,media_type,display_format,primary_text,headline,description,cta_label,destination_url,hook_archetype,format,offer,cta_intent,awareness_stage,driver,funnel,indication,device_named,device_platforms,modality,downtime_handling,proof_asset,price_disclosure,provider_signal,geo_signal,hook_specificity,offer_strength,durability,claim_risk,claim_risk_reason,messaging_match,messaging_match_reason,conf_advertiser_type,conf_hook_archetype,conf_format,conf_offer,conf_cta_intent,conf_awareness_stage,conf_driver,conf_funnel,conf_indication,conf_device_named,conf_modality,conf_downtime_handling,conf_proof_asset,conf_price_disclosure,conf_provider_signal,conf_geo_signal,conf_claim_risk,conf_messaging_match,alt,queries,duplicate_ad_ids,creative_duplicates,thumbnail_file,visual_type,text_overlay,price_on_creative,device_name_on_creative,people,skin_closeup,production,palette,disclaimer_visible,visual_caption,visual_confidence
1941199963217830,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=1941199963217830,Fort Wayne Dermatology + Plastic Surgery & Aesthetics,Fort Wayne Dermatology + Plastic Surgery & Aesthetics,1476871532538245,single_location,30,1,Fac|Ins|Aud|Thr,carousel_image,DCO,"✨ THE FUTURE OF SKIN IS HERE! ✨ 

We’re excited to introduce Sciton TRIBRID™ to Fort Wayne Plastic Surgery & Aesthetics — bringing some of the most advanced laser and light-based skin treatments together in one powerful platform! TRIBRID allows us to create highly customized treatment plans using HALO®, MOXI® and BBL® HEROic™ technology — whether you’re looking for a refreshed glow or more significant skin renewal. ✨ 

HALO® Hybrid Fractional Laser A powerful resurfacing treatment that targets both the surface and deeper layers of the skin to improve: • Fine lines & wrinkles • Sun damage & discoloration • Uneven texture and tone • Enlarged pores • Acne scars • Overall skin quality 

💫 MOXI®",FW Dermatology |,,,http://www.fwderm.com/,bold_claim,product_announcement,no_offer,learn_educate,product_aware,transformation,cold_prospecting,general_glow,yes,halo|bbl|moxi|sciton,hybrid_multiple,not_mentioned,none,none,none,city_or_neighborhood_named,0,0,3,no,,drifts,"ad introduces TRIBRID/HALO with no offer; page is generic dermatology homepage, TRIBRID only in promo banner",0.7,0.65,0.9,0.95,0.7,0.9,0.6,0.65,0.5,0.95,0.85,0.9,0.85,0.95,0.9,0.9,0.75,0.55,"{""hook_archetype"": [""flat_spec"", 0.3], ""indication"": [""fine_lines_wrinkles"", 0.35], ""driver"": [""trust_safety"", 0.3], ""funnel"": [""mid_consideration"", 0.3]}",Halo laser|skin resurfacing|laser resurfacing|fractional laser|Moxi laser,,0,thumbs/1941199963217830.jpg,text_graphic_offer,heavy,no,yes,one,no,template_graphic,brand_color_block,no,"Dermatology brochure graphic with model face, Sciton device, BBL/MOXI/HALO labels",0.9
38063894589922335,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=38063894589922335,Fort Wayne Dermatology + Plastic Surgery & Aesthetics,Fort Wayne Dermatology + Plastic Surgery & Aesthetics,1476871532538245,single_location,17,1,Fac|Ins|Aud|Mes|Thr,carousel_image,DCO,"After a summer of sun exposure, your skin tends to tell the story.

It's rarely dramatic, but uneven tones, subtle texture changes, and a fading glow start to show.

Halo is a hybrid fractional laser treatment designed to work on both the surface and deeper layers of your skin in a single treatment, helping to restore that smoothness, clarity, and tone over time.

If you're curious about what laser treatment could do for you, we'd love to start the conversation.

Schedule your one-on-one consultation at Fort Wayne Plastic Surgery & Aesthetics today.",Give Your Skin a Fresh Start,,Learn more,https://fwderm.com/coolsculpting/,problem_callout,problem_solution,no_offer,book_appointment,product_aware,transformation,cold_prospecting,pigmentation_sun_damage,yes,halo,hybrid_multiple,not_mentioned,none,none,none,city_or_neighborhood_named,1,0,3,no,,breaks,"ad sells Halo laser; page is CoolSculpting fat-reduction page, Halo absent",0.7,0.8,0.85,0.95,0.6,0.9,0.75,0.65,0.6,0.95,0.85,0.9,0.9,0.95,0.9,0.9,0.8,0.95,"{""cta_intent"": [""learn_educate"", 0.4], ""indication"": [""texture_pores"", 0.35], ""funnel"": [""mid_consideration"", 0.3]}",Halo laser|fractional laser,,0,thumbs/38063894589922335.jpg,lifestyle_model,heavy,no,yes,one,no,polished_studio,warm_skin_tones,no,Smiling blonde woman on beach with Halo summer-sun headline copy,0.85
2066986240529900,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=2066986240529900,Elinea SF,Elinea SF,104091905908787,single_location,203,1,Fac|Ins,video,VIDEO,Dr. Rami shares why HALO TRIBRID was the laser we knew our patients needed.,,,Visit Instagram profile,https://www.instagram.com/elinea.sf,flat_spec,provider_authority,no_offer,learn_educate,product_aware,trust_safety,mid_consideration,unspecified,yes,halo|sciton,hybrid_multiple,not_mentioned,provider_on_camera,none,none,none,1,0,3,no,,unclear,page not fetched: disallowed by robots.txt,0.7,0.55,0.7,0.9,0.7,0.85,0.65,0.5,0.9,0.95,0.7,0.9,0.8,0.95,0.9,0.8,0.7,1.0,"{""hook_archetype"": [""curiosity_tease"", 0.3], ""funnel"": [""cold_prospecting"", 0.4], ""format"": [""product_announcement"", 0.25]}",Halo laser,,0,thumbs/2066986240529900.jpg,device_product_shot,none,no,yes,none,no,polished_studio,dark_moody,no,"Halo laser handpiece on articulated arm with glowing tip, dark background",0.8
2109186649904911,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=2109186649904911,Elinea SF,Elinea SF,104091905908787,single_location,177,2,Fac|Ins|Aud,carousel_image,DCO,{{product.brand}},{{product.name}},{{product.description}},Learn more,instant_form,direct_offer,offer_promo,dollar_off,lead_capture,most_aware,price_value,bottom_retargeting,laxity_tightening,yes,morpheus8,rf_microneedling,downtime_minimized,none,exact_price,none,city_or_neighborhood_named,0,2,2,unclear,templated DCO fields; 'Non-invasive treatment' for Morpheus8 (RF microneedling is minimally invasive); 'restoring youthful firmness',instant_form_no_page,lead form ad,0.7,0.75,0.8,0.55,0.85,0.6,0.7,0.5,0.6,0.95,0.9,0.9,0.9,0.85,0.9,0.85,0.5,1.0,"{""offer"": [""package_bundle"", 0.35], ""awareness_stage"": [""product_aware"", 0.35], ""funnel"": [""cold_prospecting"", 0.4], ""indication"": [""general_glow"", 0.3], ""claim_risk"": [""no"", 0.4]}",Morpheus8,1424589468991194,1,thumbs/2109186649904911.jpg,device_product_shot,heavy,yes,yes,none,no,polished_studio,dark_moody,no,"Gloved hand holding Morpheus8 handpiece, $500 off new patient offer",0.85
988309210402149,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=988309210402149,Elinea SF,Elinea SF,104091905908787,single_location,127,1,Fac|Ins,image,IMAGE,"When it comes to laser care, experience matters.

Elinea is led by a Sciton Luminary and specializes in physician-guided laser protocols designed for long-term skin health — not quick fixes.",instagram.com,,Visit Instagram profile,http://instagram.com/elinea.sf,flat_spec,provider_authority,no_offer,learn_educate,solution_aware,trust_safety,mid_consideration,unspecified,yes,sciton,unspecified,not_mentioned,none,none,none,none,0,0,3,no,,unclear,page not fetched: disallowed by robots.txt,0.7,0.5,0.85,0.95,0.75,0.6,0.9,0.55,0.9,0.95,0.7,0.9,0.75,0.95,0.9,0.8,0.8,1.0,"{""hook_archetype"": [""bold_claim"", 0.4], ""awareness_stage"": [""product_aware"", 0.35], ""funnel"": [""cold_prospecting"", 0.4]}",Moxi laser,,0,thumbs/988309210402149.jpg,before_after,light,no,yes,one,yes,clinic_real,dark_moody,yes,"Four-panel before/after lower face grid, BBL Moxi treatment, dark card",0.8
1338955208117654,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=1338955208117654,Antiage Institute: Medical Spa & Wellness Center,Antiage Institute: Medical Spa & Wellness Center,189612446418,single_location,101,3,Fac|Ins|Aud|Mes,carousel_video,DCO,{{product.brand}},{{product.name}},{{product.description}},Get offer,https://promotion.antiageinstitute.com/laser-and-skin-rejuvenation,direct_offer,offer_promo,percent_off,lead_capture,most_aware,price_value,bottom_retargeting,fine_lines_wrinkles,yes,halo|bbl|moxi,hybrid_multiple,not_mentioned,stat_or_study,none,none,none,0,3,1,no,,holds,"dynamic ad (laser devices, % off); page 20% off first laser/skin rejuvenation, devices only in menu",0.7,0.75,0.9,0.7,0.65,0.7,0.85,0.5,0.45,0.95,0.85,0.9,0.5,0.95,0.9,0.85,0.7,0.6,"{""offer"": [""event_flash_sale"", 0.3], ""funnel"": [""cold_prospecting"", 0.45], ""indication"": [""general_glow"", 0.4], ""proof_asset"": [""none"", 0.45], ""cta_intent"": [""purchase_package"", 0.25]}",Halo laser|Moxi laser|laser facial,1251181430241446|1327298622167862,2,,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,,
1022158343587747,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=1022158343587747,Antiage Institute: Medical Spa & Wellness Center,Antiage Institute: Medical Spa & Wellness Center,189612446418,single_location,101,1,Fac|Ins|Aud|Mes,video,VIDEO,"For a limited time, get 20% off Laser & Skin Rejuvenation including Moxi® Lasers, BBL® Therapy, HALO™, ActiveFX™ & DeepFX™, DiamondGlow® and HydraFacial® MD at the Antiage Institute! 🎉

✨ Smooth fine lines and wrinkles, brighten dull skin, and reduce scars and pigmentation with our award-winning team, trusted for over 25 years to deliver radiant, youthful results. Schedule your consultation today!

*New patients only. Cannot be combined with other offers. Offer not valid for injectables. Package purchases may be required to claim select laser/skin discounts.",Get 20% Off Laser & Skin Rejuvenation 😎,,Get offer,https://promotion.antiageinstitute.com/laser-and-skin-rejuvenation,direct_offer,offer_promo,percent_off,lead_capture,most_aware,price_value,bottom_retargeting,fine_lines_wrinkles,yes,halo|bbl|moxi,hybrid_multiple,not_mentioned,stat_or_study,none,none,none,0,3,1,no,,holds,ad 20% off laser & skin rejuvenation incl Moxi/BBL/HALO; page 20% off first laser or skin rejuvenation,0.7,0.85,0.9,0.7,0.65,0.7,0.85,0.5,0.45,0.95,0.85,0.9,0.5,0.95,0.9,0.85,0.7,0.85,"{""offer"": [""event_flash_sale"", 0.3], ""funnel"": [""cold_prospecting"", 0.45], ""indication"": [""general_glow"", 0.4], ""proof_asset"": [""none"", 0.45], ""cta_intent"": [""purchase_package"", 0.25]}",Halo laser|Moxi laser,,0,,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,no_thumbnail,,
986797950753916,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=986797950753916,NEOSkin Promos,NEOSkin Promos,103158705898192,single_location,112,2,Fac|Ins|Aud|Mes|Thr,video,VIDEO,"Want radiant skin with minimal downtime? ☀️ Claim your discount to save up to $300 off laser services before this deal is gone!* 💰

Laser services include:

✔️ HALO™
✔️ BBL HERO®
✔️ ClearSilk™
✔️ Laser Hair Removal
✔️ ClearV®
✔️ MOXI™
✔️ UltraClear®

💎 NEOSkin Medical Spa is thrilled to be a Sapphire Distinguished Partner with Sciton, makers of HALO™ and BBL HERO®. Our team has the knowledge and innovative techniques from thousands of treatments, allowing us to achieve superior results.

Claim your discount now, then come in for a FREE consultation tailored to your unique skin concerns!

* Offer applies to first time visitors only. Cannot be combined with other offers.",Up To $300 Off Laser Services,,See details,https://coolpromo.neoskincenter.com/halobbl,direct_offer,offer_promo,dollar_off,lead_capture,most_aware,price_value,bottom_retargeting,general_glow,yes,halo|bbl|moxi|sciton|aerolase|ultraclear,hybrid_multiple,downtime_minimized,stat_or_study,exact_price,none,none,0,3,1,no,,holds,"ad up to $300 off laser services HALO/BBL/MOXI; page up to $300 off any laser service, same list ATF",0.7,0.6,0.75,0.8,0.55,0.7,0.8,0.5,0.75,0.95,0.85,0.9,0.65,0.85,0.9,0.85,0.65,0.95,"{""hook_archetype"": [""question"", 0.4], ""format"": [""catalog_generic"", 0.3], ""offer"": [""free_consult"", 0.2], ""cta_intent"": [""free_consult"", 0.4], ""funnel"": [""cold_prospecting"", 0.4], ""driver"": [""downtime_avoidance"", 0.25]}",Halo laser|BBL Hero|Moxi laser,1755204935921468,1,thumbs/986797950753916.jpg,text_graphic_offer,heavy,no,no,none,no,template_graphic,pastel_soft,yes,"Blue-grey card reading Get This Offer Before It's Gone, Neoskin logo",0.85
995970023179592,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=995970023179592,NEOSkin Promos,NEOSkin Promos,103158705898192,single_location,99,1,Fac|Ins|Aud|Mes|Thr,carousel_image,DCO,{{product.brand}},{{product.name}},{{product.description}},Learn more,https://coolpromo.neoskincenter.com/estheticianpromo,direct_offer,offer_promo,dollar_off,lead_capture,most_aware,price_value,bottom_retargeting,unspecified,yes,aerolase,unspecified,not_mentioned,stat_or_study,exact_price,none,none,0,3,1,no,,drifts,"dynamic ad tagged laser/resurfacing; page is $50 off esthetic services (facials, peels), no laser named",0.7,0.8,0.75,0.85,0.55,0.75,0.85,0.5,0.85,0.95,0.7,0.9,0.5,0.85,0.9,0.85,0.7,0.5,"{""format"": [""catalog_generic"", 0.35], ""offer"": [""free_consult"", 0.2], ""cta_intent"": [""learn_educate"", 0.35], ""funnel"": [""cold_prospecting"", 0.4], ""proof_asset"": [""none"", 0.45]}",skin resurfacing,,0,thumbs/995970023179592.jpg,clinic_interior_team,none,no,no,one,no,clinic_real,mixed,no,Staff member seated beside treatment chair and laser cart in blue clinic room,0.8
2287191362113701,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=US&media_type=all&id=2287191362113701,NEOSkin Promos,NEOSkin Promos,103158705898192,single_location,94,1,Fac|Ins|Aud|Mes|Thr,carousel_video,DCO,{{product.brand}},{{product.name}},{{product.description}},Get offer,https://coolpromo.neoskincenter.com/estheticianpromo,direct_offer,offer_promo,dollar_off,lead_capture,most_aware,price_value,bottom_retargeting,unspecified,yes,aerolase,unspecified,not_mentioned,stat_or_study,exact_price,none,none,0,3,1,no,,drifts,"dynamic ad tagged laser/resurfacing; page is $50 off esthetic services (facials, peels), no laser named",0.7,0.8,0.75,0.85,0.75,0.75,0.85,0.5,0.85,0.95,0.7,0.9,0.5,0.85,0.9,0.85,0.7,0.5,"{""format"": [""catalog_generic"", 0.35], ""offer"": [""free_consult"", 0.2], ""cta_intent"": [""purchase_package"", 0.2], ""funnel"": [""cold_prospecting"", 0.4], ""proof_asset"": [""none"", 0.45]}",skin resurfacing,,0,thumbs/2287191362113701.jpg,treatment_in_progress,light,no,no,one,yes,clinic_real,warm_skin_tones,no,"Gloved hands treating patient's brow with handpiece, 'Book The Facial' text",0.85
